Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Median,Ratio,RatioSD
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,5,AsciiOnly,1.674 ns,0.0268 ns,0.0250 ns,1.667 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,5,AsciiOnly,1.701 ns,0.0106 ns,0.0089 ns,1.698 ns,1.02,0.02
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,5,AsciiOnly,1.885 ns,0.0284 ns,0.0458 ns,1.862 ns,1.14,0.03
Ascii_Local_NarrowUtf16ToAscii_v3,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,5,AsciiOnly,1.668 ns,0.0131 ns,0.0116 ns,1.669 ns,1.00,0.02
Ascii_Local_NarrowUtf16ToAscii_v4_if,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,5,AsciiOnly,1.871 ns,0.0156 ns,0.0138 ns,1.876 ns,1.12,0.02
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,2.078 ns,0.0228 ns,0.0202 ns,2.069 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,2.089 ns,0.0176 ns,0.0156 ns,2.095 ns,1.01,0.01
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,2.679 ns,0.0317 ns,0.0297 ns,2.676 ns,1.29,0.02
Ascii_Local_NarrowUtf16ToAscii_v3,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,2.085 ns,0.0221 ns,0.0254 ns,2.077 ns,1.01,0.02
Ascii_Local_NarrowUtf16ToAscii_v4_if,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,2.090 ns,0.0197 ns,0.0154 ns,2.092 ns,1.00,0.01
