Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Ratio,RatioSD
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,4.382 ns,0.0154 ns,0.0144 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,4.349 ns,0.0098 ns,0.0087 ns,0.99,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,5.387 ns,0.0014 ns,0.0012 ns,1.23,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,8,AsciiOnly,4.688 ns,0.0030 ns,0.0025 ns,1.07,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,15,AsciiOnly,5.903 ns,0.0043 ns,0.0036 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,15,AsciiOnly,6.315 ns,0.0023 ns,0.0020 ns,1.07,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,15,AsciiOnly,6.157 ns,0.0032 ns,0.0027 ns,1.04,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,15,AsciiOnly,6.798 ns,0.0020 ns,0.0017 ns,1.15,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,6.099 ns,0.0188 ns,0.0176 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,6.222 ns,0.0044 ns,0.0037 ns,1.02,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,4.633 ns,0.0042 ns,0.0037 ns,0.76,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,5.761 ns,0.0023 ns,0.0019 ns,0.94,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,12.419 ns,0.0070 ns,0.0062 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,13.180 ns,0.0080 ns,0.0067 ns,1.06,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,6.888 ns,0.0349 ns,0.0310 ns,0.55,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,31,AsciiOnly,7.259 ns,0.0183 ns,0.0171 ns,0.58,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,6.632 ns,0.0075 ns,0.0066 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,5.329 ns,0.0322 ns,0.0301 ns,0.80,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,7.823 ns,0.0221 ns,0.0207 ns,1.18,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,7.805 ns,0.0023 ns,0.0019 ns,1.18,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,9.021 ns,0.0043 ns,0.0038 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,7.817 ns,0.0020 ns,0.0019 ns,0.87,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,5.939 ns,0.0120 ns,0.0100 ns,0.66,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,6.140 ns,0.0026 ns,0.0021 ns,0.68,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,39,AsciiOnly,10.794 ns,0.0509 ns,0.0476 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,39,AsciiOnly,9.089 ns,0.0030 ns,0.0025 ns,0.84,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,39,AsciiOnly,7.118 ns,0.0110 ns,0.0103 ns,0.66,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,39,AsciiOnly,7.360 ns,0.0026 ns,0.0023 ns,0.68,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,41,AsciiOnly,9.134 ns,0.0125 ns,0.0117 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,41,AsciiOnly,7.821 ns,0.0063 ns,0.0059 ns,0.86,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,41,AsciiOnly,7.775 ns,0.0065 ns,0.0051 ns,0.85,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,41,AsciiOnly,7.945 ns,0.0105 ns,0.0098 ns,0.87,0.00
