Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Median;Ratio;RatioSD
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;4.281 ns;0.0079 ns;0.0070 ns;4.280 ns;1.00;0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;3.419 ns;0.0044 ns;0.0041 ns;3.418 ns;0.80;0.00
Ascii_Local_NarrowUtf16ToAscii_v3;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;4.928 ns;0.0318 ns;0.0435 ns;4.921 ns;1.15;0.01
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;4.109 ns;0.0078 ns;0.0073 ns;4.107 ns;0.96;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;12;AsciiOnly;4.778 ns;0.0065 ns;0.0060 ns;4.778 ns;1.00;0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;12;AsciiOnly;4.004 ns;0.0028 ns;0.0026 ns;4.005 ns;0.84;0.00
Ascii_Local_NarrowUtf16ToAscii_v3;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;12;AsciiOnly;7.243 ns;0.0333 ns;0.0311 ns;7.234 ns;1.52;0.01
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;12;AsciiOnly;4.105 ns;0.0073 ns;0.0065 ns;4.102 ns;0.86;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;15;AsciiOnly;5.707 ns;0.0028 ns;0.0025 ns;5.707 ns;1.00;0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;15;AsciiOnly;4.075 ns;0.0077 ns;0.0072 ns;4.073 ns;0.71;0.00
