Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio
Ascii_Local_NarrowUtf16ToAscii_v3;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;3.994 ns;0.0247 ns;0.0219 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;3.954 ns;0.0092 ns;0.0082 ns;0.99
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;3.744 ns;0.0112 ns;0.0105 ns;0.94
Ascii_Local_NarrowUtf16ToAscii_v3;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;4.374 ns;0.0188 ns;0.0176 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;4.178 ns;0.0182 ns;0.0152 ns;0.95
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;4.619 ns;0.0209 ns;0.0185 ns;1.06
Ascii_Local_NarrowUtf16ToAscii_v3;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;33;AsciiOnly;4.395 ns;0.0136 ns;0.0127 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;33;AsciiOnly;4.586 ns;0.0150 ns;0.0141 ns;1.04
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;33;AsciiOnly;3.981 ns;0.0271 ns;0.0211 ns;0.91
Ascii_Local_NarrowUtf16ToAscii_v3;Job-UWBKAV;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;65;AsciiOnly;5.248 ns;0.0288 ns;0.0269 ns;1.00
