Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio
Ascii_Local_NarrowUtf16ToAscii_v3;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;3.535 ns;0.0189 ns;0.0157 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;3.530 ns;0.0423 ns;0.0353 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;8;AsciiOnly;3.750 ns;0.0316 ns;0.0281 ns;1.06
Ascii_Local_NarrowUtf16ToAscii_v3;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;4.150 ns;0.0190 ns;0.0178 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;4.196 ns;0.0308 ns;0.0273 ns;1.01
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;4.676 ns;0.0358 ns;0.0317 ns;1.13
Ascii_Local_NarrowUtf16ToAscii_v3;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;33;AsciiOnly;4.349 ns;0.0195 ns;0.0183 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;33;AsciiOnly;4.351 ns;0.0141 ns;0.0118 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;33;AsciiOnly;4.390 ns;0.0381 ns;0.0338 ns;1.01
Ascii_Local_NarrowUtf16ToAscii_v3;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;65;AsciiOnly;5.207 ns;0.0135 ns;0.0127 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-LVUIAG;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;3;65;AsciiOnly;5.184 ns;0.0133 ns;0.0125 ns;1.00
