Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio
Ascii_Local_NarrowUtf16ToAscii_v3;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;8;AsciiOnly;4.018 ns;0.0219 ns;0.0205 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;8;AsciiOnly;4.321 ns;0.0196 ns;0.0183 ns;1.08
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;8;AsciiOnly;4.534 ns;0.0336 ns;0.0314 ns;1.13
Ascii_Local_NarrowUtf16ToAscii_v3;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;20;AsciiOnly;4.986 ns;0.0093 ns;0.0078 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;20;AsciiOnly;5.155 ns;0.0154 ns;0.0129 ns;1.03
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;20;AsciiOnly;6.802 ns;0.0406 ns;0.0380 ns;1.36
Ascii_Local_NarrowUtf16ToAscii_v3;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;33;AsciiOnly;5.834 ns;0.0281 ns;0.0249 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;33;AsciiOnly;5.227 ns;0.0174 ns;0.0145 ns;0.90
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;33;AsciiOnly;5.064 ns;0.0123 ns;0.0103 ns;0.87
Ascii_Local_NarrowUtf16ToAscii_v3;Job-QMYPNO;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;65;AsciiOnly;8.651 ns;0.0450 ns;0.0399 ns;1.00
