Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio
Ascii_Local_NarrowUtf16ToAscii_v3;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;8;AsciiOnly;4.677 ns;0.0303 ns;0.0268 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;8;AsciiOnly;3.967 ns;0.0219 ns;0.0194 ns;0.85
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;8;AsciiOnly;4.253 ns;0.0173 ns;0.0154 ns;0.91
Ascii_Local_NarrowUtf16ToAscii_v3;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;20;AsciiOnly;4.750 ns;0.0161 ns;0.0135 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;20;AsciiOnly;5.516 ns;0.0188 ns;0.0176 ns;1.16
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;20;AsciiOnly;6.374 ns;0.0061 ns;0.0051 ns;1.34
Ascii_Local_NarrowUtf16ToAscii_v3;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;33;AsciiOnly;5.862 ns;0.0246 ns;0.0230 ns;1.00
Ascii_Local_NarrowUtf16ToAscii_v3b;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;33;AsciiOnly;7.006 ns;0.0400 ns;0.0374 ns;1.20
Ascii_Local_NarrowUtf16ToAscii_v3c;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;33;AsciiOnly;6.340 ns;0.0172 ns;0.0152 ns;1.08
Ascii_Local_NarrowUtf16ToAscii_v3;Job-LTKEMN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;1;65;AsciiOnly;8.260 ns;0.0450 ns;0.0421 ns;1.00
