Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Median
Original,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,8,AsciiOnly,5.891 ns,0.0711 ns,0.1811 ns,5.951 ns
Encoding,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,8,AsciiOnly,8.253 ns,0.0891 ns,0.0834 ns,8.213 ns
SimdSSE_v4,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,8,AsciiOnly,2.870 ns,0.0403 ns,0.0566 ns,2.870 ns
SimdAVX_2,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,8,AsciiOnly,2.847 ns,0.0358 ns,0.0491 ns,2.843 ns
SimdVector256,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,8,AsciiOnly,3.281 ns,0.0435 ns,0.0407 ns,3.259 ns
Original,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,10,AsciiOnly,6.708 ns,0.0133 ns,0.0118 ns,6.706 ns
Encoding,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,10,AsciiOnly,8.778 ns,0.0954 ns,0.1099 ns,8.747 ns
SimdSSE_v4,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,10,AsciiOnly,3.318 ns,0.0454 ns,0.0693 ns,3.335 ns
SimdAVX_2,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,10,AsciiOnly,2.994 ns,0.0422 ns,0.0953 ns,2.955 ns
SimdVector256,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,10,AsciiOnly,3.312 ns,0.0369 ns,0.0327 ns,3.299 ns
Original,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,16,AsciiOnly,9.725 ns,0.1093 ns,0.1532 ns,9.733 ns
Encoding,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,16,AsciiOnly,9.254 ns,0.0569 ns,0.0475 ns,9.266 ns
SimdSSE_v4,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,16,AsciiOnly,3.363 ns,0.0461 ns,0.0832 ns,3.392 ns
SimdAVX_2,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,16,AsciiOnly,2.946 ns,0.0411 ns,0.0562 ns,2.959 ns
SimdVector256,Job-JIVEGC,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,16,AsciiOnly,3.322 ns,0.0225 ns,0.0199 ns,3.323 ns
