Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Ratio,RatioSD
Original,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,42,AsciiOnly,22.904 ns,0.4901 ns,1.4373 ns,1.00,0.00
Encoding,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,42,AsciiOnly,6.083 ns,0.0381 ns,0.0318 ns,0.27,0.02
Avx1,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,42,AsciiOnly,2.341 ns,0.0213 ns,0.0166 ns,0.10,0.01
VectorLength,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,42,AsciiOnly,2.347 ns,0.0359 ns,0.0318 ns,0.10,0.01
Original,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,85,AsciiOnly,41.736 ns,0.2125 ns,0.1884 ns,1.00,0.00
Encoding,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,85,AsciiOnly,6.798 ns,0.0107 ns,0.0095 ns,0.16,0.00
Avx1,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,85,AsciiOnly,8.483 ns,0.0138 ns,0.0115 ns,0.20,0.00
VectorLength,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,85,AsciiOnly,5.755 ns,0.0702 ns,0.2049 ns,0.14,0.00
Original,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,256,AsciiOnly,125.900 ns,0.1582 ns,0.1402 ns,1.00,0.00
Encoding,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,256,AsciiOnly,11.239 ns,0.0307 ns,0.0287 ns,0.09,0.00
Avx1,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,256,AsciiOnly,7.538 ns,0.0863 ns,0.1091 ns,0.06,0.00
VectorLength,Job-JPAVPN,False,Default,Default,0.01,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,250.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,Default,256,AsciiOnly,8.583 ns,0.0355 ns,0.0296 ns,0.07,0.00
