Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Median;Ratio;RatioSD
Original;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;42;AsciiOnly;18.590 ns;0.2776 ns;0.8184 ns;18.582 ns;1.00;0.00
Encoding;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;42;AsciiOnly;7.540 ns;0.0834 ns;0.0780 ns;7.493 ns;0.41;0.02
Avx1;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;42;AsciiOnly;3.035 ns;0.0409 ns;0.0649 ns;3.017 ns;0.16;0.01
VectorLength;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;42;AsciiOnly;2.920 ns;0.0441 ns;0.0737 ns;2.895 ns;0.16;0.01
VectorLength_Aligned;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;42;AsciiOnly;3.027 ns;0.0455 ns;0.0773 ns;3.012 ns;0.16;0.01
Original;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;85;AsciiOnly;32.953 ns;0.3491 ns;0.7130 ns;32.956 ns;1.00;0.00
Encoding;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;85;AsciiOnly;9.750 ns;0.0913 ns;0.0854 ns;9.762 ns;0.30;0.01
Avx1;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;85;AsciiOnly;11.353 ns;0.1269 ns;0.1187 ns;11.297 ns;0.34;0.01
VectorLength;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;85;AsciiOnly;4.875 ns;0.0640 ns;0.0978 ns;4.846 ns;0.15;0.00
VectorLength_Aligned;Job-SULAVN;False;Default;Default;0.01;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;85;AsciiOnly;4.966 ns;0.0631 ns;0.1138 ns;4.952 ns;0.15;0.00
