Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio;RatioSD
Original;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;4.833 ns;0.0475 ns;0.0421 ns;1.15;0.01
Encoding;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;10.018 ns;0.0221 ns;0.0196 ns;2.39;0.01
Int32Loop;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;4.635 ns;0.0152 ns;0.0135 ns;1.10;0.01
SimdSSE_v4;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;4.279 ns;0.0122 ns;0.0108 ns;1.02;0.01
SimdAVX;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;8;AsciiOnly;4.196 ns;0.0284 ns;0.0252 ns;1.00;0.00
Original;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;10;AsciiOnly;6.131 ns;0.0708 ns;0.0696 ns;1.49;0.02
Encoding;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;10;AsciiOnly;10.470 ns;0.0297 ns;0.0277 ns;2.55;0.01
Int32Loop;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;10;AsciiOnly;4.924 ns;0.0067 ns;0.0056 ns;1.20;0.00
SimdSSE_v4;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;10;AsciiOnly;4.131 ns;0.0125 ns;0.0117 ns;1.01;0.00
SimdAVX;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;10;AsciiOnly;4.107 ns;0.0153 ns;0.0136 ns;1.00;0.00
